sample,function_type,function_id,count,function_label
B5,go,go:0016020,7,go|go:0016020
A1,go,go:0005886,35,go|go:0005886
A1,go,go:0005737,46,go|go:0005737
A1,go,go:0005622,37,go|go:0005622
A1,go,go:0005634,30,go|go:0005634
A1,go,go:0005576,54,go|go:0005576
A1,go,go:0008152,3,go|go:0008152
A1,go,go:0006810,6,go|go:0006810
A1,go,go:0006950,8,go|go:0006950
A1,go,go:0005975,6,go|go:0005975
A1,go,go:0006629,3,go|go:0006629
A2,go,go:0005886,42,go|go:0005886
A2,go,go:0005737,46,go|go:0005737
A2,go,go:0005622,41,go|go:0005622
A2,go,go:0005634,60,go|go:0005634
A2,go,go:0005576,57,go|go:0005576
A2,go,go:0008152,6,go|go:0008152
A2,go,go:0006810,4,go|go:0006810
A2,go,go:0006950,5,go|go:0006950
A2,go,go:0005975,4,go|go:0005975
A2,go,go:0006629,7,go|go:0006629
A3,go,go:0005886,47,go|go:0005886
A3,go,go:0005737,49,go|go:0005737
A3,go,go:0005622,60,go|go:0005622
A3,go,go:0005634,53,go|go:0005634
A3,go,go:0005576,30,go|go:0005576
A3,go,go:0008152,5,go|go:0008152
A3,go,go:0006810,8,go|go:0006810
A3,go,go:0006950,8,go|go:0006950
A3,go,go:0005975,8,go|go:0005975
A3,go,go:0006629,7,go|go:0006629
A4,go,go:0005886,46,go|go:0005886
A4,go,go:0005737,55,go|go:0005737
A4,go,go:0005622,34,go|go:0005622
A4,go,go:0005634,46,go|go:0005634
A4,go,go:0005576,54,go|go:0005576
A4,go,go:0008152,6,go|go:0008152
A4,go,go:0006810,3,go|go:0006810
A4,go,go:0006950,5,go|go:0006950
A4,go,go:0005975,2,go|go:0005975
A4,go,go:0006629,5,go|go:0006629
A5,go,go:0005886,57,go|go:0005886
A5,go,go:0005737,41,go|go:0005737
A5,go,go:0005622,48,go|go:0005622
A5,go,go:0005634,47,go|go:0005634
A5,go,go:0005576,36,go|go:0005576
A5,go,go:0008152,6,go|go:0008152
A5,go,go:0006810,5,go|go:0006810
A5,go,go:0006950,5,go|go:0006950
A5,go,go:0005975,8,go|go:0005975
A5,go,go:0006629,4,go|go:0006629
B1,go,go:0005886,5,go|go:0005886
B1,go,go:0005737,4,go|go:0005737
B1,go,go:0005622,2,go|go:0005622
B1,go,go:0005634,6,go|go:0005634
B1,go,go:0005576,6,go|go:0005576
B1,go,go:0008152,49,go|go:0008152
B1,go,go:0006810,55,go|go:0006810
B1,go,go:0006950,49,go|go:0006950
B1,go,go:0005975,40,go|go:0005975
B1,go,go:0006629,44,go|go:0006629
B2,go,go:0005886,6,go|go:0005886
B2,go,go:0005737,2,go|go:0005737
B2,go,go:0005622,8,go|go:0005622
B2,go,go:0005634,3,go|go:0005634
B2,go,go:0005576,7,go|go:0005576
B2,go,go:0008152,35,go|go:0008152
B2,go,go:0006810,47,go|go:0006810
B2,go,go:0006950,48,go|go:0006950
B2,go,go:0005975,35,go|go:0005975
B2,go,go:0006629,57,go|go:0006629
B3,go,go:0005886,2,go|go:0005886
B3,go,go:0005737,8,go|go:0005737
B3,go,go:0005622,6,go|go:0005622
B3,go,go:0005634,8,go|go:0005634
B3,go,go:0005576,8,go|go:0005576
B3,go,go:0008152,56,go|go:0008152
B3,go,go:0006810,59,go|go:0006810
B3,go,go:0006950,38,go|go:0006950
B3,go,go:0005975,31,go|go:0005975
B3,go,go:0006629,56,go|go:0006629
B4,go,go:0005886,7,go|go:0005886
B4,go,go:0005737,2,go|go:0005737
B4,go,go:0005622,2,go|go:0005622
B4,go,go:0005634,8,go|go:0005634
B4,go,go:0005576,2,go|go:0005576
B4,go,go:0008152,44,go|go:0008152
B4,go,go:0006810,30,go|go:0006810
B4,go,go:0006950,54,go|go:0006950
B4,go,go:0005975,54,go|go:0005975
B4,go,go:0006629,38,go|go:0006629
B5,go,go:0005886,3,go|go:0005886
B5,go,go:0005737,4,go|go:0005737
B5,go,go:0005622,2,go|go:0005622
B5,go,go:0005634,8,go|go:0005634
B5,go,go:0005576,6,go|go:0005576
B5,go,go:0008152,35,go|go:0008152
B5,go,go:0006810,41,go|go:0006810
B5,go,go:0006950,39,go|go:0006950
B5,go,go:0005975,32,go|go:0005975
B5,go,go:0006629,35,go|go:0006629
